_id,month,street,direction,from_intersection,to_intersection,day_type,time_period,baseline_travel_time,average_travel_time
1,Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekday,AM Peak (07:00-10:00),7.9,7.1
2,Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekday,Evening (19:00-23:00),8.1,7.3
3,Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekday,Midday (10:00-16:00),9.4,8.5
4,Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekday,PM Peak (16:00-19:00),14.7,14.0
5,Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekend,Afternoon (12:00-17:00),7.1,6.8
6,Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekend,Evening (17:00-23:00),7.7,6.3
7,Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekend,Morning (08:00-12:00),4.8,5.0
8,Nov '17,Bathurst,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),5.1,5.4
9,Nov '17,Bathurst,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),5.2,4.9
10,Nov '17,Bathurst,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),4.9,5.2
11,Nov '17,Bathurst,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),7.0,6.2
12,Nov '17,Bathurst,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),4.7,5.1
13,Nov '17,Bathurst,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),5.0,4.9
14,Nov '17,Bathurst,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),4.1,3.9
15,Nov '17,Bathurst,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),5.3,6.0
16,Nov '17,Bathurst,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),5.4,5.5
17,Nov '17,Bathurst,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.6,5.8
18,Nov '17,Bathurst,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),6.1,6.1
19,Nov '17,Bathurst,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),5.5,5.8
20,Nov '17,Bathurst,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),5.3,5.5
21,Nov '17,Bathurst,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),4.2,4.2
22,Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),10.6,10.8
23,Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.7,11.2
24,Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),13.2,13.0
25,Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),13.7,14.5
26,Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),13.3,16.2
27,Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),12.9,15.1
28,Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),8.8,8.9
